음식,총가격,인원구성,요일 및 시간,날씨
"치즈라볶이, 땡초진미김밥, 소고기주먹밥",15000,남(21) 남(13) 남(28),2024-01-20 19:48:00,맑음
"참치찌개, 김치볶음밥, 김치찌개, 오므라이스, 비빔국수",35000,여(19) 여(37) 여(10) 남(30),2024-05-07 05:05:00,맑음
"참치주먹밥, 치즈돈까스, 멸치주먹밥",17500,남(55) 여(35) 여(58),2024-04-23 14:29:00,맑음
"참치김밥, 참치주먹밥, 멸추김밥, 치즈김밥, 부대찌개",26000,남(38) 남(30) 남(34) 여(44) 여(46),2024-01-16 23:11:00,맑음
"멸치주먹밥, 참치주먹밥, 날치알주먹밥, 김치볶음밥, 우동",25000,여(24) 남(38) 남(58) 여(17),2024-05-02 07:43:00,흐림
"된장찌개, 땡초진미김밥",12000,남(10),2024-08-12 11:27:00,비
멸치주먹밥,4000,남(34),2023-08-31 01:10:00,눈
"날으는 김밥, 치즈라면, 돈까스",18500,여(34) 남(39),2023-09-05 12:09:00,맑음
"얼큰해물라면, 소고기주먹밥",12500,남(11) 남(50),2024-10-14 02:49:00,맑음
"비빔국수, 치즈라면, 떡만두국, 떡국, 멸치주먹밥",31500,남(33) 여(55) 여(52) 여(25),2023-08-05 16:33:00,맑음
"치즈김밥, 참치순두부찌개, 소고기주먹밥, 참치주먹밥, 멸치주먹밥",24000,남(42) 남(21) 남(51) 여(44),2023-12-27 16:33:00,흐림
"날치알주먹밥, 육개장",12000,남(55),2024-07-05 06:22:00,맑음
"새우튀김김밥, 땡초진미김밥, 된장찌개, 날으는 김밥",20500,남(10) 여(42) 남(18),2024-05-19 03:20:00,흐림
날치알주먹밥,4000,여(51),2023-09-04 06:51:00,맑음
"쫄면, 날치알주먹밥, 된장찌개, 치즈돈까스",27500,남(15) 여(13) 남(47),2024-01-16 23:39:00,흐림
"참치김밥, 참치주먹밥, 오뎅",13000,남(54) 여(38) 남(21),2023-08-03 21:40:00,맑음
"참치주먹밥, 소고기주먹밥",8000,남(60),2023-08-04 19:03:00,눈
"만두라면, 치즈돈까스",15000,남(22) 여(57),2023-04-12 02:42:00,맑음
날치알주먹밥,4000,남(45),2024-01-23 13:25:00,맑음
"비빔국수, 소고기김밥, 소고기주먹밥, 쫄면",23000,여(23) 남(15) 여(31) 남(31),2023-08-07 16:06:00,눈
"떡볶이, 멸치주먹밥, 라면, 된장찌개",20000,남(20) 남(35) 여(35),2023-03-21 02:10:00,맑음
소고기주먹밥,4000,여(23),2023-06-22 20:17:00,눈
멸추김밥,5000,여(21),2023-09-06 23:44:00,눈
"육개장, 참치주먹밥, 참치주먹밥",16000,남(59) 남(12),2023-10-31 03:25:00,맑음
"비빔국수, 치즈떡볶이, 오므라이스, 된장찌개",26500,남(60) 남(56) 남(41) 여(47),2023-07-10 21:55:00,맑음
"참치주먹밥, 참치덮밥",11500,여(40) 남(22),2024-10-28 10:07:00,맑음
"콩국수, 쫄면, 멸치주먹밥, 날치알주먹밥, 참치찌개, 참치순두부찌개",37500,남(22) 남(36) 남(50) 여(38) 여(35),2023-07-15 16:25:00,맑음
"멸치주먹밥, 참치비빔밥, 계란말이김밥, 참치순두부찌개",24500,여(35) 남(38) 남(25),2023-10-28 20:50:00,흐림
"뚝배기불고기, 김치볶음밥",15000,남(25) 남(46),2023-03-27 11:34:00,맑음
"날치알김밥, 소고기주먹밥",9000,남(34) 남(27),2024-07-22 18:14:00,맑음
"떡볶이, 멸추김밥, 참치주먹밥",13500,남(34) 남(36) 남(40),2023-10-23 12:25:00,비
"치즈라면, 오므라이스, 치즈김밥, 멸치주먹밥",21000,여(17) 여(39) 남(32) 남(41),2024-01-06 06:41:00,맑음
"떡만두국, 만두라면, 김치라면, 날치알주먹밥, 멸치주먹밥",27000,남(25) 남(53) 남(31) 여(49),2024-06-29 09:38:00,눈
"참치김밥, 콩국수, 날치알김밥, 제육덮밥, 참치김밥",29000,남(41) 남(31) 여(35) 남(32) 여(31),2024-07-12 12:22:00,맑음
"날치알주먹밥, 땡초진미김밥, 날치알주먹밥, 뚝배기불고기",21000,남(45) 여(19) 남(20),2024-04-01 20:04:00,맑음
"라면, 김치볶음밥, 부대찌개, 오징어덮밥",27500,남(36) 여(16) 남(34) 남(14),2023-07-18 22:44:00,맑음
"참치주먹밥, 김치찌개, 고구마돈까스, 참치덮밥",28000,여(29) 여(55) 여(17) 여(14),2024-10-16 10:08:00,맑음
"떡볶이, 날으는 김밥, 된장찌개, 참치비빔밥, 멸치주먹밥, 떡볶이",31000,남(39) 여(31) 여(36) 여(35) 여(19),2023-11-22 00:03:00,비
"참치찌개, 순두부찌개, 제육덮밥, 김치찌개, 떡국, 새우튀김김밥",40000,남(12) 남(55) 남(58) 여(60) 여(29),2023-12-06 01:14:00,눈
"치즈떡볶이, 참치덮밥, 고구마돈까스",22500,여(25) 남(59),2023-09-05 06:36:00,맑음
"새우튀김김밥, 날으는 김밥, 콩국수, 비빔국수, 고구마돈까스",33000,남(13) 남(36) 남(44) 남(57),2023-07-31 15:25:00,맑음
"만두라면, 소고기김밥",10500,여(56),2023-08-23 02:56:00,흐림
"치즈라면, 만두국, 오므라이스, 참치순두부찌개, 참치와사비김밥, 된장찌개",39000,여(49) 여(32) 여(59) 여(46) 여(29),2023-11-27 16:27:00,맑음
"고구마돈까스, 소고기주먹밥",13500,남(12) 여(59),2024-10-20 07:32:00,맑음
"된장찌개, 김치볶음밥, 오불덮밥, 멸치주먹밥",26000,여(33) 여(24) 여(23) 남(22),2023-03-16 04:25:00,맑음
"김치라면, 날치알주먹밥, 김치찌개",16500,여(30) 여(26) 남(45),2023-08-17 22:49:00,맑음
"땡초진미김밥, 치즈김밥, 라면, 땡초진미김밥",19000,여(25) 남(35) 여(16) 남(12),2023-12-26 09:10:00,흐림
"날치알김밥, 날치알김밥, 떡라면, 날치알주먹밥, 날으는 김밥",23000,여(50) 여(28) 남(30) 남(58) 남(43),2023-04-13 21:51:00,맑음
"땡초진미김밥, 날치알주먹밥, 참치찌개, 제육덮밥, 우동, 계란말이김밥",34500,남(47) 남(20) 여(33) 여(10) 남(16),2023-09-21 00:48:00,맑음
"멸추김밥, 새우볶음밥, 쫄면, 땡초진미김밥",24000,남(55) 남(42) 남(38) 남(60),2023-05-08 00:53:00,맑음
"육개장, 참치순두부찌개, 라면",20000,여(59) 남(38) 남(16),2023-07-15 02:37:00,맑음
라면,4500,여(56),2024-01-19 09:24:00,맑음
"새우튀김김밥, 된장찌개, 오므라이스",19000,여(52) 여(33),2023-06-24 19:32:00,흐림
"멸치주먹밥, 땡초진미김밥, 떡국, 참치찌개, 참치비빔밥",30500,남(17) 여(20) 여(15) 남(43) 여(35),2024-06-30 23:48:00,맑음
육개장,8000,여(53),2024-06-25 03:02:00,맑음
"돈까스김밥, 비빔밥, 참치김밥",16500,여(59) 남(53),2024-09-13 12:37:00,맑음
"라면, 참치와사비김밥, 부대찌개, 오불덮밥, 참치주먹밥",29500,남(45) 남(13) 남(32) 여(25),2023-04-11 21:02:00,맑음
"된장찌개, 떡국, 떡볶이, 치즈라면, 잔치국수",31000,남(34) 남(50) 남(26) 여(53) 여(18),2024-01-08 19:10:00,흐림
"치즈김밥, 우동, 오징어덮밥, 김치볶음밥, 김치찌개, 김치라면",38000,여(43) 여(38) 남(54) 여(22) 남(33),2023-08-20 07:27:00,맑음
"날치알주먹밥, 떡라면, 치즈라면, 새우볶음밥, 얼큰해물우동",30500,남(12) 여(14) 여(11) 여(24) 여(37),2023-05-09 02:49:00,맑음
"김치찌개, 날치알주먹밥, 된장찌개, 참치비빔밥, 고구마돈까스",35000,여(48) 여(43) 남(27) 여(38),2023-08-04 11:10:00,맑음
"군만두, 참치덮밥, 부대찌개, 소고기주먹밥, 뚝배기불고기",31500,여(46) 남(59) 남(49) 남(38) 남(34),2023-04-30 12:07:00,맑음
"생선까스, 돈까스김밥, 뚝배기불고기, 떡국, 땡초진미김밥",34500,남(30) 여(54) 남(43) 여(56) 여(12),2024-02-17 07:46:00,맑음
"생선까스, 비빔밥",16500,여(40) 남(16),2023-07-26 11:43:00,비
"뚝배기불고기, 새우튀김김밥",13000,남(22),2023-07-31 22:47:00,흐림
"된장찌개, 김치볶음밥",14000,남(24),2024-03-09 23:31:00,맑음
"떡국, 날으는 김밥, 비빔밥, 오므라이스",24500,여(58) 남(33) 여(60),2023-10-31 21:54:00,흐림
"된장찌개, 새우튀김김밥",12000,여(12),2024-07-24 11:38:00,맑음
"멸치주먹밥, 참치순두부찌개, 김치라면, 된장찌개",24000,남(42) 남(33) 남(45),2024-05-21 15:14:00,맑음
"치즈김밥, 참치주먹밥, 소고기주먹밥, 콩국수",20500,여(42) 여(20) 여(13) 남(47),2024-08-06 01:36:00,맑음
"멸치주먹밥, 떡국, 참치덮밥, 뚝배기불고기, 날치알주먹밥",30500,여(33) 남(51) 남(33) 남(51),2024-04-16 11:40:00,맑음
"참치비빔밥, 멸치주먹밥",11500,남(59) 남(32),2023-11-18 11:24:00,맑음
"돈까스김밥, 부대찌개",13000,여(53) 여(29),2024-09-05 08:43:00,맑음
"참치주먹밥, 고기만두, 쫄면",15000,여(29) 남(59) 여(21),2023-08-08 08:20:00,맑음
"참치덮밥, 소고기주먹밥, 김치찌개, 제육덮밥",25500,여(28) 남(42) 여(17),2024-08-29 01:45:00,맑음
"떡만두국, 떡볶이",12500,남(60) 남(48),2023-05-20 10:16:00,맑음
"멸치주먹밥, 멸치주먹밥, 소고기김밥, 된장찌개",20000,남(55) 남(22) 남(32),2024-10-10 22:19:00,맑음
"땡초진미김밥, 날치알김밥, 김치찌개, 참치찌개",24000,여(59) 여(54) 여(42),2023-07-16 21:33:00,흐림
"쫄면, 뚝배기불고기, 참치주먹밥, 참치비빔밥, 소고기주먹밥",30500,남(17) 남(27) 여(54) 남(44) 여(28),2024-05-27 06:33:00,맑음
고구마돈까스,9500,남(22),2024-02-03 20:19:00,맑음
"오불덮밥, 제육덮밥",15000,여(46),2023-03-27 02:57:00,맑음
"돈까스, 김치만두, 콩국수, 참치주먹밥, 치즈라면",31000,남(27) 남(23) 남(14) 여(19),2023-12-18 06:48:00,맑음
"치즈김밥, 참치와사비김밥",9500,남(47),2023-08-28 01:23:00,맑음
"돈까스김밥, 콩국수, 육개장, 소고기주먹밥, 새우튀김김밥, 날치알김밥",35000,남(18) 여(29) 여(14) 남(23) 남(60),2024-05-21 06:31:00,맑음
"만두라면, 날치알주먹밥, 육개장",17500,남(55) 여(56),2024-03-17 08:52:00,맑음
"치즈라볶이, 오뎅, 참치김밥",15000,여(18) 여(12),2023-10-31 00:42:00,흐림
"소고기김밥, 참치덮밥, 참치덮밥, 소고기주먹밥, 김치볶음밥",31000,남(44) 남(46) 남(59) 남(50),2024-10-13 11:21:00,흐림
참치주먹밥,4000,남(17),2024-01-09 18:36:00,눈
"김치찌개, 돈까스",16500,남(46) 남(58),2023-09-21 23:31:00,맑음
"참치와사비김밥, 땡초진미김밥, 참치덮밥, 떡볶이",22000,여(29) 남(44) 남(21) 여(14),2023-11-27 18:30:00,눈
"땡초진미김밥, 멸치주먹밥, 참치찌개",16000,여(10) 여(48) 여(53),2024-07-21 22:25:00,맑음
"김치볶음밥, 날치알주먹밥",11000,남(14) 남(18),2023-09-22 23:51:00,맑음
"멸추김밥, 된장찌개, 고기만두, 참치찌개",23000,남(25) 여(41) 남(23),2024-08-24 22:46:00,비
"소고기주먹밥, 순두부찌개, 만두국, 소고기주먹밥, 치즈라볶이",28000,남(36) 여(42) 남(24) 여(29) 여(53),2024-09-10 19:02:00,맑음
"고구마돈까스, 콩국수, 김치볶음밥",24500,여(42) 남(20),2024-07-10 22:27:00,맑음
"돈까스김밥, 참치찌개",12000,남(17) 남(25),2023-09-14 13:54:00,흐림
"오므라이스, 날치알김밥, 떡라면, 만두국, 육개장",32500,여(15) 남(53) 남(11) 남(32) 여(18),2024-02-13 17:15:00,맑음
"만두라면, 콩국수, 참치주먹밥, 참치덮밥, 멸치주먹밥",29000,여(59) 여(10) 여(53) 여(57),2024-01-02 03:50:00,눈
"치즈김밥, 뚝배기불고기, 콩국수",20500,여(36) 여(38) 여(45),2024-08-31 21:14:00,맑음
"부대찌개, 치즈김밥, 김치찌개, 잔치국수, 만두라면, 오불덮밥",40000,여(13) 남(28) 여(20) 남(37) 남(37),2023-10-26 23:44:00,맑음
육개장,8000,남(56),2023-04-18 12:00:00,맑음
"잔치국수, 돈까스김밥, 멸치주먹밥, 김치찌개, 참치와사비김밥",28000,여(50) 여(45) 여(24) 남(54),2024-08-03 01:10:00,맑음
"뚝배기불고기, 새우튀김김밥, 부대찌개, 군만두",25000,남(37) 여(12) 남(21) 남(30),2023-08-26 20:49:00,맑음
"계란말이김밥, 치즈돈까스, 멸추김밥, 소고기김밥, 떡라면",30500,여(32) 여(28) 남(48) 여(37) 여(29),2023-09-19 19:42:00,맑음
"소고기주먹밥, 소고기주먹밥",8000,남(33) 여(45),2023-08-12 14:56:00,흐림
"날치알주먹밥, 떡볶이, 치즈김밥, 소고기주먹밥, 땡초진미김밥",22000,남(44) 여(32) 남(13) 여(10) 여(31),2023-05-10 10:20:00,맑음
"참치순두부찌개, 소고기주먹밥, 만두라면, 비빔국수, 새우볶음밥",31000,여(45) 남(17) 여(43) 남(33) 여(47),2023-09-24 03:03:00,맑음
"새우볶음밥, 김치만두, 고기만두",15000,남(39) 여(41) 남(16),2024-07-05 06:55:00,눈
멸치주먹밥,4000,남(22),2024-08-06 04:27:00,맑음
"육개장, 육개장, 고기만두, 참치주먹밥, 돈까스",33500,남(40) 여(48) 여(35) 여(19) 남(13),2024-02-21 06:47:00,흐림
"참치주먹밥, 오므라이스",11000,남(41),2024-02-06 00:37:00,맑음
"참치주먹밥, 고구마돈까스, 떡라면",19000,여(60) 여(11) 남(30),2024-05-15 02:48:00,흐림
"참치주먹밥, 계란말이김밥, 김치만두, 날치알주먹밥",17500,여(56) 여(45) 남(32),2023-05-31 02:23:00,흐림
"부대찌개, 육개장, 순두부찌개, 김치라면, 소고기주먹밥",32500,남(26) 남(14) 여(15) 남(26),2023-05-01 22:32:00,맑음
"김치만두, 오징어덮밥, 잔치국수",19000,남(24) 남(33),2023-06-15 01:31:00,맑음
"제육덮밥, 된장찌개",14000,남(26),2024-01-10 19:14:00,눈
"콩국수, 계란말이김밥",13500,여(20),2023-06-20 14:03:00,맑음
"비빔밥, 부대찌개, 비빔국수, 참치찌개, 오뎅, 쫄면",40500,여(10) 남(33) 남(56) 여(58) 여(11),2023-11-22 23:38:00,맑음
"돈까스김밥, 순두부찌개, 치즈라면, 오므라이스",24500,남(13) 여(36) 남(21) 남(33),2023-10-11 02:15:00,비
"얼큰해물라면, 된장찌개, 참치찌개, 참치주먹밥, 생선까스",36000,여(24) 여(43) 여(51) 여(27) 남(45),2024-02-27 07:42:00,맑음
"떡만두국, 떡볶이, 오므라이스, 참치순두부찌개",27000,여(19) 남(59) 여(41) 여(45),2023-06-18 20:53:00,맑음
"비빔밥, 고구마돈까스, 라면, 라면",25500,남(14) 여(30) 여(20),2024-01-19 09:17:00,맑음
"군만두, 소고기주먹밥, 소고기주먹밥, 떡볶이, 참치순두부찌개",24000,남(34) 여(54) 남(44) 남(26) 남(43),2024-03-15 17:47:00,비
"생선까스, 참치와사비김밥, 멸치주먹밥",18500,남(57) 남(30),2024-10-12 06:47:00,맑음
"소고기김밥, 떡라면",10500,남(39),2024-08-14 16:52:00,눈
"새우튀김김밥, 김치찌개, 뚝배기불고기, 돈까스",29500,남(30) 남(42) 남(39),2024-07-11 02:39:00,맑음
"멸치주먹밥, 돈까스김밥, 소고기주먹밥",13000,남(43) 남(29),2023-08-21 21:32:00,눈
"된장찌개, 김치볶음밥, 참치주먹밥, 치즈라볶이, 라볶이",29000,여(54) 여(37) 남(48) 여(12),2024-07-27 22:19:00,맑음
"소고기주먹밥, 라면",8500,남(53) 여(51),2024-05-24 02:25:00,맑음
"참치와사비김밥, 치즈라면",10500,남(14) 여(34),2023-12-13 03:01:00,눈
"참치덮밥, 김치찌개, 떡라면, 김치만두, 날치알주먹밥, 치즈라면",33500,남(33) 남(42) 남(30) 남(29) 여(20),2024-05-18 05:01:00,비
"땡초진미김밥, 돈까스김밥, 제육덮밥, 순두부찌개, 참치주먹밥",28000,남(15) 남(58) 남(36) 남(31) 남(12),2024-02-19 11:02:00,비
"육개장, 참치비빔밥, 뚝배기불고기",23500,여(12) 남(33),2023-10-03 02:29:00,맑음
"돈까스김밥, 된장찌개, 비빔밥, 멸치주먹밥, 날치알주먹밥, 멸치주먹밥",31000,남(51) 남(59) 남(41) 남(22) 남(46),2023-04-17 15:21:00,맑음
얼큰해물라면,8500,남(59),2023-11-21 07:24:00,맑음
"날으는 김밥, 김치만두, 멸치주먹밥, 계란말이김밥, 참치덮밥, 멸추김밥",29500,여(48) 남(36) 여(23) 남(18) 남(26),2023-10-09 20:15:00,눈
"날치알주먹밥, 쫄면",11000,남(45) 여(31),2024-03-09 08:23:00,비
"날치알김밥, 치즈김밥, 뚝배기불고기, 소고기주먹밥, 소고기김밥",26500,여(16) 여(33) 여(35) 남(46) 남(28),2023-05-27 21:32:00,비
"김치찌개, 날치알김밥, 오므라이스, 부대찌개, 라면",31500,남(53) 여(42) 여(10) 여(57),2023-05-18 12:35:00,맑음
"얼큰해물우동, 돈까스김밥, 계란말이김밥, 라면, 멸치주먹밥, 참치주먹밥",31500,남(32) 여(21) 남(44) 남(36) 여(35),2024-08-16 18:53:00,맑음
"오불덮밥, 참치주먹밥, 돈까스김밥, 참치주먹밥",21000,남(52) 남(21) 남(52) 남(57),2024-08-18 13:46:00,눈
"참치찌개, 얼큰해물라면, 생선까스",25000,여(47) 남(27) 남(22),2024-02-05 06:51:00,흐림
"육개장, 날으는 김밥, 오징어덮밥, 김치찌개",26500,남(54) 남(12) 남(58) 남(26),2023-07-31 16:46:00,맑음
"김치찌개, 부대찌개",15000,남(23),2023-11-16 16:16:00,맑음
"멸추김밥, 김치찌개, 참치와사비김밥, 참치비빔밥",24500,여(36) 여(11) 남(47) 여(26),2024-03-23 09:30:00,흐림
"군만두, 참치와사비김밥, 김치볶음밥",16000,여(38) 남(14),2024-04-25 09:35:00,흐림
"된장찌개, 치즈돈까스, 치즈돈까스, 참치김밥, 치즈돈까스",40000,남(21) 여(36) 여(20) 여(42),2024-07-20 10:39:00,맑음
"뚝배기불고기, 뚝배기불고기, 참치주먹밥, 계란말이김밥, 육개장",33500,남(30) 남(50) 남(32) 남(37) 여(12),2023-09-08 12:30:00,맑음
"치즈라볶이, 참치와사비김밥, 치즈김밥",15500,남(16) 남(36),2024-01-08 07:22:00,흐림
"떡국, 오므라이스",14000,여(22),2024-06-19 16:01:00,맑음
"된장찌개, 오므라이스, 쫄면, 날치알주먹밥, 날으는 김밥, 만두국",35500,남(11) 여(16) 여(22) 남(32) 여(53),2024-05-24 21:33:00,맑음
"만두국, 순두부찌개, 치즈돈까스, 날으는 김밥",27000,남(49) 남(40) 남(20) 여(38),2024-02-25 12:06:00,흐림
고구마돈까스,9500,남(35),2023-04-02 09:39:00,흐림
"날치알주먹밥, 군만두",8000,남(58),2023-07-23 09:40:00,흐림
"치즈김밥, 떡라면, 땡초진미김밥, 부대찌개, 김치찌개, 날치알주먹밥",34000,여(35) 남(47) 남(10) 여(32) 여(57),2024-01-21 05:18:00,맑음
"육개장, 부대찌개",16000,남(21) 남(26),2024-03-29 06:44:00,비
"우동, 김치찌개, 참치찌개, 소고기김밥",25000,남(41) 여(40) 여(25),2023-08-02 22:13:00,흐림
"날치알주먹밥, 순두부찌개, 참치김밥, 부대찌개, 새우튀김김밥",28500,남(25) 여(28) 남(29) 남(15),2024-04-08 17:56:00,맑음
"군만두, 된장찌개",11000,여(40) 남(48),2023-04-04 01:10:00,맑음
날치알주먹밥,4000,여(37),2024-03-26 03:29:00,맑음
"라볶이, 참치덮밥, 멸추김밥, 떡라면",23000,여(53) 여(39) 남(31),2024-09-23 08:45:00,맑음
"군만두, 김치볶음밥",11000,여(22),2023-12-28 10:53:00,맑음
"김치찌개, 생선까스, 제육덮밥, 참치와사비김밥, 김치만두, 참치비빔밥",40000,여(25) 남(55) 여(10) 남(24) 여(21),2023-06-09 05:42:00,맑음
"잔치국수, 멸치주먹밥, 치즈돈까스, 라볶이",25500,여(55) 여(13) 여(22),2023-07-10 15:10:00,비
"잔치국수, 멸추김밥, 고구마돈까스",21500,남(25) 남(49),2023-09-07 08:07:00,맑음
"김치라면, 땡초진미김밥, 육개장, 김치볶음밥, 순두부찌개, 떡만두국",40500,남(53) 남(36) 남(59) 여(35) 여(11),2023-12-21 17:33:00,맑음
"참치순두부찌개, 참치김밥, 날으는 김밥",15500,남(19) 여(12),2023-10-17 07:35:00,흐림
"순두부찌개, 참치주먹밥, 오불덮밥, 참치덮밥, 계란말이김밥",32000,여(16) 여(47) 남(58) 여(16),2024-04-04 00:07:00,맑음
"우동, 순두부찌개",13000,남(49),2024-06-11 22:06:00,흐림
"참치찌개, 육개장, 육개장, 날치알김밥, 날치알주먹밥",32000,여(58) 남(31) 남(18) 여(17) 여(45),2023-05-05 06:06:00,맑음
새우튀김김밥,5000,남(23),2023-04-21 00:03:00,맑음
"참치주먹밥, 참치김밥, 라볶이, 날치알김밥, 소고기주먹밥",22500,남(54) 여(25) 여(53) 여(11) 남(11),2024-04-02 08:54:00,맑음
"오징어덮밥, 김치볶음밥, 참치덮밥, 새우튀김김밥, 부대찌개, 김치볶음밥",42500,남(49) 남(27) 남(29) 남(43) 여(20),2023-10-28 05:42:00,맑음
비빔국수,7000,남(37),2023-07-06 23:44:00,맑음
"소고기주먹밥, 돈까스, 참치주먹밥, 돈까스, 치즈떡볶이",32500,남(13) 남(29) 남(56) 남(56),2023-06-14 06:19:00,맑음
"순두부찌개, 참치찌개, 소고기주먹밥",18000,남(37) 남(18),2024-03-31 23:49:00,비
"참치김밥, 뚝배기불고기, 치즈돈까스, 부대찌개",30000,남(48) 남(44) 여(21) 여(46),2023-08-15 04:19:00,흐림
"김치찌개, 멸치주먹밥, 날치알주먹밥",15000,남(53) 남(54),2024-10-08 06:39:00,흐림
"만두국, 소고기주먹밥",11000,남(28) 남(49),2023-10-13 02:37:00,눈
"비빔국수, 참치비빔밥, 오징어덮밥, 콩국수",30500,남(40) 여(50) 여(38),2024-08-20 15:27:00,맑음
"순두부찌개, 돈까스김밥, 소고기주먹밥, 날으는 김밥, 우동, 제육덮밥",32500,여(18) 남(34) 남(52) 남(41) 남(43),2024-01-15 15:24:00,맑음
"떡라면, 만두국",12500,남(57) 남(42),2024-06-04 09:58:00,맑음
"소고기주먹밥, 제육덮밥, 날으는 김밥, 참치덮밥, 생선까스",31500,여(15) 남(25) 남(27) 여(40) 여(59),2024-07-16 16:42:00,맑음
"육개장, 뚝배기불고기, 김치찌개",23000,여(41) 남(12) 여(16),2024-08-03 22:34:00,흐림
"참치순두부찌개, 참치주먹밥, 소고기주먹밥, 뚝배기불고기, 쫄면, 소고기주먹밥",34500,남(54) 여(34) 여(55) 남(43) 남(47),2023-04-14 12:51:00,흐림
"멸추김밥, 날치알주먹밥",9000,여(12),2023-08-05 02:33:00,흐림
"참치덮밥, 오므라이스, 만두라면, 참치와사비김밥, 떡라면",30500,남(32) 남(36) 남(50) 남(57) 여(48),2024-05-29 11:35:00,맑음
"뚝배기불고기, 참치찌개, 김치볶음밥",22000,여(22) 여(25),2024-08-24 14:09:00,맑음
"떡볶이, 날치알주먹밥, 참치덮밥, 참치순두부찌개, 된장찌개, 멸치주먹밥",34500,여(21) 여(51) 남(40) 남(41) 여(31),2023-08-23 06:46:00,맑음
"김치찌개, 치즈라볶이, 제육덮밥, 소고기주먹밥, 비빔국수, 떡만두국",39000,남(41) 남(55) 남(57) 여(12) 여(56),2023-03-24 05:37:00,흐림
"치즈라볶이, 콩국수, 참치주먹밥, 참치찌개",25000,남(28) 남(18) 여(10),2023-04-07 17:29:00,비
"뚝배기불고기, 치즈라볶이, 된장찌개",21000,여(42) 여(24),2023-07-22 12:41:00,흐림
"날으는 김밥, 소고기주먹밥, 날치알김밥",12500,남(33) 여(13),2024-08-05 18:12:00,흐림
"부대찌개, 새우볶음밥",15000,여(14) 여(46),2024-09-04 19:44:00,눈
"새우튀김김밥, 날치알김밥",10000,여(44) 여(41),2024-08-30 08:47:00,맑음
"날치알김밥, 날치알주먹밥, 날치알주먹밥",13000,남(30) 여(57) 남(13),2023-11-28 23:29:00,흐림
"참치비빔밥, 된장찌개, 김치라면",20000,여(11) 여(27),2023-09-20 08:13:00,맑음
"참치덮밥, 육개장, 멸추김밥, 날치알주먹밥",24500,여(20) 여(48) 남(34),2023-05-02 10:20:00,맑음
"오므라이스, 육개장",15000,남(13) 여(43),2023-10-16 14:01:00,맑음
"떡국, 우동, 돈까스김밥, 새우볶음밥",25000,남(57) 남(14) 남(30) 여(56),2024-02-17 13:45:00,눈
"뚝배기불고기, 순두부찌개",15000,남(49) 남(32),2023-08-08 21:48:00,맑음
"참치찌개, 소고기주먹밥, 새우튀김김밥, 오징어덮밥, 생선까스",33500,여(48) 여(25) 여(12) 남(26),2024-07-28 20:19:00,맑음
"제육덮밥, 멸추김밥, 날치알주먹밥, 부대찌개",24000,남(25) 여(55) 남(56),2024-09-10 14:18:00,맑음
"참치덮밥, 치즈돈까스",17000,남(14),2024-03-10 00:02:00,흐림
"떡라면, 떡라면, 멸치주먹밥",15000,여(11) 남(13) 여(31),2024-04-11 01:33:00,맑음
"된장찌개, 오징어덮밥, 참치주먹밥, 소고기주먹밥",23000,여(27) 남(55) 남(39),2024-03-28 23:41:00,맑음
"생선까스, 참치주먹밥, 땡초진미김밥",18500,남(12) 여(48),2023-04-15 12:34:00,눈
"참치순두부찌개, 멸치주먹밥, 참치비빔밥, 참치찌개",26000,여(58) 여(52) 여(33) 여(58),2023-09-12 08:31:00,흐림
"참치주먹밥, 날치알김밥, 날치알주먹밥",13000,남(46) 여(43) 남(44),2023-04-12 03:50:00,흐림
"날치알주먹밥, 잔치국수, 멸치주먹밥",15000,남(48) 남(18),2023-10-18 06:56:00,흐림
"계란말이김밥, 계란말이김밥, 날치알주먹밥",15000,남(12) 여(58),2023-11-12 21:52:00,흐림
"날치알주먹밥, 순두부찌개, 소고기주먹밥, 참치덮밥, 참치김밥",27000,여(49) 남(54) 남(16) 여(24),2024-03-23 22:03:00,맑음
"날치알주먹밥, 참치찌개, 오징어덮밥, 뚝배기불고기, 참치순두부찌개",34500,남(44) 여(35) 여(27) 여(50),2023-07-01 12:04:00,비
"멸치주먹밥, 치즈돈까스, 돈까스김밥, 참치주먹밥, 제육덮밥, 참치김밥",34000,남(52) 여(45) 남(46) 남(53) 여(17),2024-08-09 06:43:00,맑음
오뎅,4500,여(48),2024-07-05 16:35:00,맑음
돈까스,9500,남(14),2024-08-11 14:06:00,눈
"비빔국수, 계란말이김밥, 떡국",19500,남(40) 남(57) 여(17),2024-02-02 10:25:00,비
"새우튀김김밥, 순두부찌개, 군만두",16000,여(32) 남(56) 여(55),2023-10-08 19:17:00,눈
"계란말이김밥, 참치찌개",12500,남(14) 남(49),2024-08-02 05:06:00,맑음
"잔치국수, 김치라면, 비빔밥, 순두부찌개, 치즈김밥",31000,남(20) 남(34) 남(54) 여(53) 여(46),2023-09-06 03:20:00,맑음
"멸추김밥, 참치김밥, 오징어덮밥, 생선까스",27000,남(60) 여(13) 여(23) 여(51),2023-08-03 11:11:00,맑음
"순두부찌개, 잔치국수",14000,남(21),2024-01-04 01:01:00,눈
"라면, 참치주먹밥, 라면, 김치볶음밥",20000,여(47) 남(24) 여(56),2024-08-22 00:02:00,맑음
